shared name	BHI_2011_EGDe[RNASeq]	BHI_2014_EGDe[RNASeq]	BHI_Long_2014_EGDe[RNASeq]	BHI_Medium_2014_EGDe[RNASeq]	BHI_Short_2014_EGDe[RNASeq]	High_10_Plantarum_Pediocin_2014[RNASeq]	High_180_Plantarum_Pediocin_2014[RNASeq]	High_60_Plantarum_Pediocin_2014[RNASeq]	High_60_Proteinase_Plantarum_Pediocin_2014[RNASeq]	LB_2014_EGDe[RNASeq]	LB_B12_2014_EGDe[RNASeq]	LB_B12_EA_2014_EGDe[RNASeq]	LB_EA_2014_EGDe[RNASeq]	Lmo0753_Rhamnose_2013_EGDe[RNASeq]	Macrophages_2011_EGDe[RNASeq]	Macrophages_2014_EGDe[RNASeq]	Macrophages_Long_2014_EGDe[RNASeq]	Macrophages_Medium_2014_EGDe[RNASeq]	Macrophages_Short_2014_EGDe[RNASeq]	Mid_180_Plantarum_Pediocin_2014[RNASeq]	Mid_60_Plantarum_Pediocin_2014[RNASeq]	WT_2012_EGDe[RNASeq]
lmo0818	0	-0.195505076	-0.896086621	-1.360416585	-1.064433495	-1.550425096	-1.02977942	-1.666944844	-1.665689909	-0.017684021	0.209250932	1.167996803	1.300739569	1.822159713	0.781474258	2.366861312	3.101106739	0.553019357	0.502082556	-0.930454177	-1.608266596	-0.53145893
lmo0819	3.923293942	0.184129949	-0.515273405	-1.05056989	-1.055589056	-0.717231255	0.001666595	-0.761998468	-1.015954422	0.732590004	1.036695953	1.441990619	1.601382437	0.638138935	2.413249048	2.206934084	3.45277361	0.922873361	1.074591396	0.194568268	-0.902842834	-1.086769693
lmo0820	0	0.70716722	0.533832678	2.198785732	1.794797435	-0.243308531	-0.763215466	-0.166847092	-0.355054921	0.876113381	1.029467356	0.791324148	1.107758334	-0.099997339	-4.240179951	2.502876553	3.133561169	2.584056925	2.596259237	-1.464225287	-0.221886762	-3.503638075
lmo0821	4.280049626	0.405679157	0.640569584	0.193711064	0.837219528	-0.58811771	-1.105269968	-0.695759787	-0.859445936	0.150322471	0.297236321	0.249331381	0.288811243	-0.919749422	-4.240179951	1.897299095	2.587136872	1.535968798	1.698254494	-2.249784555	-0.925054887	-1.845491227
lmo0822	5.045584372	1.111835356	-1.12994857	0.1760572	0.422845184	-0.279485942	0.99249987	0.214271285	-0.064218774	-1.754437337	-1.654728704	-1.19687905	-1.508757078	3.549617233	-4.240179951	1.275049373	-5.34038473	0.934132478	1.444319377	1.38785809	0.27818131	-1.304301145
lmo0823	3.964664377	1.681284225	1.291631775	-0.630687832	-0.635706998	0.275466651	0.726687759	0.730896384	0.462688222	1.156865317	1.043816825	1.031342895	0.875659172	1.050052985	-0.130343018	-0.562599471	-0.313210878	-1.468715612	-1.636600619	0.779706449	0.564607366	2.009048525
lmo0824	0	-0.81060273	-0.349861707	-1.071377	-0.935981047	-1.261677822	-0.871630874	-1.463226036	-1.4521067	-2.562224571	-2.428112735	-2.714721384	-2.591659836	-1.082949757	-4.240179951	-3.264898545	-3.545313424	-1.935283412	-1.999947698	-0.222153916	-1.15620267	-1.492514696
lmo0825	0	0.055881998	0.578353266	-0.158577079	0.038037616	-0.154425217	0.158828882	-0.314556301	-0.378847428	-1.014967158	-1.112384998	-0.994441789	-1.322661918	-0.126695752	-4.240179951	-1.860245528	-3.948015329	-1.781591968	-0.936986031	0.57209569	-0.251828356	-0.502899178
lmo0826	3.977839765	0.170228954	1.585414199	-0.138043072	-0.89001192	0.682146947	0.239142678	0.258798221	0.40992117	0.211359471	-0.083981414	0.788743273	0.505206992	-0.947819981	-4.240179951	0.313694111	-0.052107976	-1.492066099	-1.314097172	0.231983391	0.421978473	0.105279654
lmo0827	6.395526843	-3.111111842	-5.406756044	-5.235405324	-5.250804409	-3.062240215	-2.924352432	-3.898897418	-3.06494731	-3.233508482	-3.610626295	-2.287771773	-3.442556334	-0.705751333	-4.240179951	-3.016971031	-5.34038473	-5.040661233	-5.093305472	-3.665488312	-3.040036945	-3.31497651
